,pid,age,hh_income,sex,employment,day,hh_zone,access_egress_distance,vehicles
0,nts202300000101,>75,≤22316,male,pt-employed,monday,suburban,5.8-9.15862,2
1,nts202300000102,>75,≤22316,male,pt-employed,tuesday,suburban,5.8-9.15862,2
2,nts202300000103,>75,≤22316,male,pt-employed,wednesday,suburban,5.8-9.15862,2
3,nts202300000104,>75,≤22316,male,pt-employed,thursday,suburban,5.8-9.15862,2
4,nts202300000105,>75,≤22316,male,pt-employed,friday,suburban,5.8-9.15862,2
5,nts202300000106,>75,≤22316,male,pt-employed,saturday,suburban,5.8-9.15862,2
6,nts202300000107,>75,≤22316,male,pt-employed,sunday,suburban,5.8-9.15862,2
7,nts202300000201,>75,≤22316,female,retired,monday,suburban,3.376-5.8,2
8,nts202300000202,>75,≤22316,female,retired,tuesday,suburban,3.376-5.8,2
9,nts202300000203,>75,≤22316,female,retired,wednesday,suburban,3.376-5.8,2
10,nts202300000204,>75,≤22316,female,retired,thursday,suburban,3.376-5.8,2
11,nts202300000205,>75,≤22316,female,retired,friday,suburban,3.376-5.8,2
12,nts202300000207,>75,≤22316,female,retired,sunday,suburban,3.376-5.8,2
13,nts202300000301,48-54,32118-44107,female,ft-employed,friday,suburban,9.15862-15.8,2
14,nts202300000302,48-54,32118-44107,female,ft-employed,saturday,suburban,9.15862-15.8,2
15,nts202300000303,48-54,32118-44107,female,ft-employed,sunday,suburban,9.15862-15.8,2
16,nts202300000304,48-54,32118-44107,female,ft-employed,monday,suburban,9.15862-15.8,2
17,nts202300000305,48-54,32118-44107,female,ft-employed,tuesday,suburban,9.15862-15.8,2
18,nts202300000306,48-54,32118-44107,female,ft-employed,wednesday,suburban,9.15862-15.8,2
19,nts202300000401,48-54,32118-44107,male,ft-employed,friday,suburban,9.15862-15.8,2
20,nts202300000402,48-54,32118-44107,male,ft-employed,saturday,suburban,9.15862-15.8,2
21,nts202300000403,48-54,32118-44107,male,ft-employed,sunday,suburban,9.15862-15.8,2
22,nts202300000404,48-54,32118-44107,male,ft-employed,monday,suburban,9.15862-15.8,2
23,nts202300000405,48-54,32118-44107,male,ft-employed,tuesday,suburban,9.15862-15.8,2
24,nts202300000406,48-54,32118-44107,male,ft-employed,wednesday,suburban,9.15862-15.8,2
25,nts202300000407,48-54,32118-44107,male,ft-employed,thursday,suburban,9.15862-15.8,2
26,nts202300000801,48-54,>68887,male,ft-employed,tuesday,suburban,9.15862-15.8,2
27,nts202300000802,48-54,>68887,male,ft-employed,wednesday,suburban,9.15862-15.8,2
28,nts202300000803,48-54,>68887,male,ft-employed,thursday,suburban,9.15862-15.8,2
