,pid,act,start,end,duration
0,nts202300000101,home,0,354,354
1,nts202300000101,work,354,720,366
2,nts202300000101,home,720,1440,720
3,nts202300000102,home,0,571,571
4,nts202300000102,visit,571,626,55
5,nts202300000102,home,626,1440,814
6,nts202300000103,home,0,834,834
7,nts202300000103,visit,834,1010,176
8,nts202300000103,home,1010,1440,430
9,nts202300000104,home,0,1440,1440
10,nts202300000105,home,0,525,525
11,nts202300000105,work,525,1011,486
12,nts202300000105,home,1011,1440,429
13,nts202300000106,home,0,447,447
14,nts202300000106,work,447,697,250
15,nts202300000106,home,697,1440,743
16,nts202300000107,home,0,1440,1440
17,nts202300000201,home,0,480,480
18,nts202300000201,work,480,516,36
19,nts202300000201,home,516,1440,924
20,nts202300000202,home,0,530,530
21,nts202300000202,work,530,774,244
22,nts202300000202,home,774,1440,666
23,nts202300000203,home,0,581,581
24,nts202300000203,work,581,893,312
25,nts202300000203,home,893,1440,547
26,nts202300000204,home,0,596,596
27,nts202300000204,work,596,718,122
28,nts202300000204,home,718,1440,722
29,nts202300000205,home,0,611,611
30,nts202300000205,work,611,1031,420
31,nts202300000205,home,1031,1440,409
32,nts202300000207,home,0,975,975
33,nts202300000207,work,975,1122,147
34,nts202300000207,home,1122,1440,318
35,nts202300000301,home,0,462,462
36,nts202300000301,work,462,774,312
37,nts202300000301,home,774,1440,666
38,nts202300000302,home,0,187,187
39,nts202300000302,work,187,608,421
40,nts202300000302,home,608,1440,832
41,nts202300000303,home,0,1440,1440
42,nts202300000304,home,0,506,506
43,nts202300000304,work,506,868,362
44,nts202300000304,home,868,1440,572
45,nts202300000305,home,0,461,461
46,nts202300000305,work,461,867,406
47,nts202300000305,escort,867,893,26
48,nts202300000305,home,893,1440,547
49,nts202300000306,home,0,527,527
50,nts202300000306,shop,527,654,127
51,nts202300000306,home,654,1440,786
52,nts202300000401,home,0,345,345
53,nts202300000401,work,345,675,330
54,nts202300000401,home,675,1440,765
55,nts202300000402,home,0,338,338
56,nts202300000402,work,338,938,600
57,nts202300000402,home,938,1440,502
58,nts202300000403,home,0,450,450
59,nts202300000403,work,450,1050,600
60,nts202300000403,home,1050,1440,390
61,nts202300000404,home,0,468,468
62,nts202300000404,work,468,888,420
63,nts202300000404,home,888,1440,552
64,nts202300000405,home,0,855,855
65,nts202300000405,medical,855,935,80
